State,LGA,Year,Month,Suspected_Cases,Confirmed_Cases,Deaths,Death_Rate_Percentage,Latitude,Longitude,Classification
Abia,Aba North,2020,January,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,February,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,March,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,April,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,May,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,June,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,July,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,August,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,September,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,October,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,November,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba North,2020,December,6,1,0,0.00%,5.4527,7.5248,Sporadic Contagion
Abia,Aba South,2020,January,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba South,2020,February,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba South,2020,March,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba South,2020,April,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba South,2020,May,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba South,2020,June,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba South,2020,July,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba South,2020,August,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
Abia,Aba South,2020,September,0,0,0,0.00%,5.4527,7.5248,Zero Reporting Baseline
